epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.08914433245801474,0.01,0.08914432,0.3018199,0.06470376282893926,0.06470376253128052,0.012899516150355339
1,0.061803998228092155,0.01,0.061803985,0.021005558,0.06143526961329126,0.0614352822303772,0.011683457531034946
2,0.056066063037347805,0.01,0.056066096,0.010059743,0.059463911261174125,0.05946390703320503,0.01866481453180313
3,0.05424814658487528,0.01,0.054248095,0.009443987,0.05865092272120401,0.0586509108543396,0.010734626092016697
4,0.05305628395188481,0.01,0.053056262,0.009113746,0.05713754266658414,0.05713754519820213,0.010453675873577595
5,0.05277088972463281,0.01,0.052770928,0.009051378,17.239076131516654,17.239072799682617,7360.1123046875
6,0.05203562286758502,0.005,0.052035667,0.008927884,0.05490084228785826,0.05490085110068321,0.011890270747244358
7,0.050842491361989164,0.005,0.050842497,0.008611682,0.07682436048875184,0.0768243670463562,0.04200659692287445
8,0.04984971023725705,0.0025,0.04984971,0.008363615,0.051494708464697725,0.05149469152092934,0.008656704798340797
9,0.04960012482673059,0.0025,0.04960009,0.008303695,0.05280641218228968,0.05280640721321106,0.015843210741877556
10,0.049249850940816714,0.00125,0.049249865,0.008224139,0.051686651224123914,0.05168663710355759,0.014832845889031887
