epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.05739486435965442,0.002,0.05739488,0.010756577,0.059513157317739145,0.05951313,0.011078128
1,0.051097983098543444,0.002,0.051097974,0.008972806,0.05686840994528204,0.056868397,0.010290011
2,0.0487874887768352,0.002,0.048787475,0.008441308,0.0555068126272603,0.0555068,0.009901579
3,0.04726367761940194,0.002,0.04726367,0.008120431,0.054627514591992825,0.05462752,0.009602045
4,0.04630812101428022,0.002,0.04630812,0.0079251295,0.0539819324031616,0.053981937,0.009378889
5,0.04565752996511967,0.002,0.045657564,0.007783619,0.05345398772536948,0.05345399,0.009376392
6,0.04515857819336599,0.002,0.045158595,0.007672417,0.05324676636630288,0.053246755,0.009327057
7,0.044756675017767464,0.002,0.04475668,0.0075807218,0.05286773761684958,0.052867733,0.00908174
8,0.0444364032145915,0.002,0.044436388,0.0075073107,0.05265289905859352,0.05265289,0.009057765
9,0.044164259549033,0.002,0.04416424,0.007442554,0.052505035278663424,0.052505035,0.009086307
