epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.07050773624127286,0.001,0.07050772,0.015029102,0.06649851791660882,0.06649852,0.013544305
1,0.06490415077795766,0.001,0.06490417,0.013085371,0.06448352024827837,0.06448352,0.012792365
2,0.06327205082749521,0.001,0.06327208,0.012612757,0.06329373377855584,0.063293725,0.012590611
3,0.06238045971307466,0.001,0.062380444,0.012371027,0.06265131891976558,0.06265132,0.012382542
4,0.06179619031963078,0.001,0.06179613,0.012210242,0.06212686420222034,0.062126864,0.012203693
5,0.06135596707150028,0.001,0.061355967,0.0120803425,0.06176687016615419,0.06176686,0.012167835
6,0.06095341420465372,0.001,0.060953416,0.011967751,0.06141632575157512,0.061416347,0.012020489
7,0.06064128538225793,0.001,0.060641292,0.011879602,0.06111930979273779,0.061119318,0.012014646
8,0.060368867418339016,0.001,0.06036882,0.011804358,0.06087211057410112,0.060872108,0.011974255
9,0.06015738520486873,0.001,0.060157366,0.011739745,0.06064902115028535,0.060649026,0.011735153
