epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.06679823428984846,0.002,0.06679825,0.013429001,0.0658717006999896,0.06587169,0.012543631
1,0.060444716035449125,0.002,0.06044471,0.011509512,0.06341634329278505,0.06341633,0.011755862
2,0.05829860796848565,0.002,0.058298655,0.010936729,0.06132477681015286,0.061324764,0.0109394165
3,0.05700473163259977,0.002,0.05700467,0.010580809,0.06125842987991255,0.06125842,0.010866224
4,0.055841345437156124,0.001,0.05584136,0.010299558,0.061294171550633145,0.061294194,0.0110736145
5,0.0553366329275122,0.0005,0.05533663,0.010165279,0.06048900999925,0.06048902,0.010789709
6,0.05509428102662226,0.0005,0.055094264,0.010096232,0.06037165737865844,0.060371675,0.0107373325
7,0.054876024804828345,0.0005,0.054876007,0.010034265,0.06016733448571108,0.060167316,0.01064774
8,0.05468015024656497,0.0005,0.054680116,0.009978477,0.05988351657081509,0.059883524,0.01060865
9,0.05450615127783761,0.0005,0.054506116,0.0099281855,0.060127809004987084,0.060127832,0.010667004
10,0.054298579291240746,0.00025,0.054298587,0.009874793,0.05972148649977362,0.059721477,0.010515575
11,0.05421518391221496,0.00025,0.054215133,0.009850555,0.059896096255588734,0.059896115,0.010572324
12,0.05410897089429797,0.000125,0.054109026,0.009823179,0.059898714077187436,0.05989872,0.010592212
13,0.05405108702093373,6.25e-05,0.054051127,0.009807921,0.059867489922249634,0.059867475,0.010573721
