epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.07630656662529028,0.001,0.07630661,0.015581237,0.07205688819453224,0.07205689,0.013969189
1,0.07142483069936276,0.001,0.07142481,0.013720079,0.07050177406958547,0.070501775,0.013422864
2,0.0703152575059792,0.001,0.07031526,0.013331628,0.06970114012761744,0.06970114,0.013169612
3,0.06969387205031403,0.001,0.06969389,0.01311321,0.0692689945557581,0.069268994,0.013043166
4,0.06922009788321379,0.001,0.06922012,0.012946655,0.06888782429211586,0.06888783,0.0127887465
5,0.06885817991869793,0.001,0.06885818,0.012805701,0.06852863975935355,0.06852864,0.012671756
6,0.06853651071108077,0.001,0.06853651,0.012683999,0.06820089654610491,0.06820089,0.012505193
7,0.06824780147387628,0.001,0.06824781,0.0125734825,0.06805000665282114,0.06804999,0.012534706
8,0.0680118722554325,0.001,0.06801185,0.012479908,0.06780617490647717,0.06780618,0.012345649
9,0.06784296989437501,0.001,0.067842975,0.012411747,0.06756460981628043,0.0675646,0.012315597
